科目区分,区分詳細,1年,2年,3年,4年,学期,曜日,時限,科目名,単位数
教養科目,-,1,1,0,0,後期,月,2,地域環境の人文地理,2
教養科目,-,1,1,0,0,後期,月,2,フランス語圏の文化,2
教養科目,-,1,1,0,0,後期,月,2,生態と環境,2
教養科目,-,1,1,0,0,後期,月,2,人工物のテクノロジー,2
教養科目,-,1,1,0,0,後期,月,2,教養としてのデータリテラシー,2
教養科目,-,1,1,0,0,後期,月,3,大地の成り立ちを探る,2
教養科目,-,1,1,0,0,後期,月,4,文学概論,2
教養科目,-,1,1,0,0,後期,月,6,人間生物学,2
教養科目,-,1,1,0,0,後期,火,1,生体機能調節学,2
教養科目,-,1,1,0,0,後期,火,2,Diversity and Society,2
教養科目,-,1,1,0,0,後期,火,4,総合ゼミナール,2
教養科目,-,1,1,0,0,後期,火,4,総合ゼミナール,2
教養科目,-,1,1,0,0,後期,水,2,SDGs: Solutions to Environmental Challenges,2
教養科目,-,1,1,0,0,後期,水,3,西洋古典学Ｂ,2
教養科目,-,1,1,0,0,後期,水,3,ツーリズム産業論,2
教養科目,-,1,1,0,0,後期,水,3,"Globalization, Culture and Society",2
教養科目,-,1,1,0,0,後期,水,4,総合ゼミナール,2
教養科目,-,1,1,0,0,後期,水,6,日本国憲法,2
教養科目,-,1,1,0,0,後期,木,1,現代物理学の考え方,2
教養科目,-,1,1,0,0,後期,木,1,Understanding Popular Culture in Japan and Beyond,2
教養科目,-,1,1,0,0,後期,木,2,日本の歴史と社会・文化,2
教養科目,-,1,1,0,0,後期,木,2,ことばの科学,2
教養科目,-,1,1,0,0,後期,木,2,生活と福祉,2
教養科目,-,1,1,0,0,後期,木,2,フィールドワークからみる現代世界,2
教養科目,-,1,1,0,0,後期,木,5,科学史Ｂ,2
教養科目,-,1,1,0,0,後期,金,1,ゲノム科学,2
教養科目,-,1,1,0,0,後期,金,1,大気と水の循環を学ぶ,2
教養科目,-,1,1,0,0,後期,金,1,エネルギー化学入門,2
教養科目,-,1,1,0,0,後期,金,1,生体分子の構造と生命機能,2
教養科目,-,1,1,0,0,後期,金,2,進化生物学,2
教養科目,-,1,1,0,0,後期,金,2,自然災害と社会,2
教養科目,-,1,1,0,0,後期,金,2,現代分子科学,2
教養科目,-,1,1,0,0,後期,金,2,Japanese Nature and Satoyama,2
教養科目,-,1,1,0,0,後期,金,2,運動生命医科学,2
教養科目,-,1,1,0,0,後期,金,5,人間らしく働くこと・働く者の権利・権利を守ること,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,2,情報リテラシー実践I 73,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,2,情報リテラシー実践I 74,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,2,情報リテラシー実践I 75,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,2,情報リテラシー実践I 71,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,2,情報リテラシー実践I 72,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,月,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,2,情報リテラシー実践I 42,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,2,情報リテラシー実践I 44,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,2,情報リテラシー実践I 41,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,3,情報リテラシー実践I 51,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,3,情報リテラシー実践I 53,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,3,情報リテラシー実践I 54,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,火,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,2,情報リテラシー実践I 31,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,2,情報リテラシー実践I 32,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,2,情報リテラシー実践I 33,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,2,情報リテラシー実践I 34,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,2,情報リテラシー実践I 35,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,3,情報リテラシー実践I 55,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,3,情報リテラシー実践I 62,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,3,情報リテラシー実践I 66,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,3,情報リテラシー実践I 64,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,水,4,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,2,情報リテラシー実践I 68,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,2,情報リテラシー実践I 63,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,2,情報リテラシー実践I 61,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,2,情報リテラシー実践I 69,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,3,情報リテラシー実践I 21,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,3,情報リテラシー実践I 22,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,3,情報リテラシー実践I 23,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,3,情報リテラシー実践I 24,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,3,情報リテラシー実践I 25,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,木,5,情報リテラシー実践I(再) 92,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,2,情報リテラシー実践I 56,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,2,情報リテラシー実践I 43,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,2,情報リテラシー実践I 52,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,3,情報リテラシー実践I 15,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,3,情報リテラシー実践I 11,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,3,情報リテラシー実践I 12,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,3,情報リテラシー実践I 13,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,3,情報リテラシー実践I 14,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,情報リテラシー実践I(再) 91,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,前期,金,5,基礎ゼミナール,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,月,2,情報リテラシー実践ⅡＢ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,月,2,情報リテラシー実践ⅡＡ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,月,3,情報リテラシー実践ⅡＢ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,月,3,情報リテラシー実践ⅡＣ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,月,4,情報リテラシー実践ⅡＣ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,火,3,情報リテラシー実践ⅡＡ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,火,3,情報リテラシー実践ⅡＣ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,火,3,情報リテラシー実践ⅡＢ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,火,4,情報リテラシー実践ⅡＣ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,火,4,情報リテラシー実践ⅡＡ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,水,2,情報リテラシー実践ⅡＡ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,水,3,情報リテラシー実践ⅡＢ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,水,3,情報リテラシー実践ⅡＣ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,水,4,情報リテラシー実践ⅡＢ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,木,2,情報リテラシー実践ⅡＢ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,木,3,情報リテラシー実践ⅡＢ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,木,3,情報リテラシー実践ⅡＣ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,木,4,情報リテラシー実践ⅡＡ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,金,2,情報リテラシー実践ⅡＢ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,金,2,情報リテラシー実践Iｚ 85,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,金,2,情報リテラシー実践ⅡＡ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,金,3,情報リテラシー実践ⅡＡ,2
基礎ゼミ・情報リテ(基礎科目）,-,1,1,0,0,後期,金,3,情報リテラシー実践ⅡＢ,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,1,0,0,前期,月,1,オペレーティングシステム（CS）【2024年度以前入学生】,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,1,0,0,前期,月,1,オペレーティングシステム（EECS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,1,0,0,前期,月,2,コンピュータアーキテクチャ基礎論（CS）【2024年度以前入学生】,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,1,0,0,前期,月,2,コンピュータアーキテクチャ基礎論（EECS）,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,月,2,プログラミング言語論（CS）,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,月,2,プログラミング言語論（EECS）,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,月,3,データ構造とアルゴリズムII（CS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,前期,月,4,インターネット（CS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,前期,月,4,インターネット（EECS）,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,月,3,データ構造とアルゴリズムII（EECS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,後期,火,2,現代計算機アーキテクチャ（CS）,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,月,3,情報数学A,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,後期,火,2,現代計算機アーキテクチャ（EECS）,2
専門教育科目群,領域導入科目(必修),1,0,0,0,前期,月,4,情報科学概論１,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,月,4,形式言語とオートマトン（CS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,前期,水,2,分散処理（CS）,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,月,4,形式言語とオートマトン（EECS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,前期,水,2,分散処理（EECS）,2
専門教育科目群,領域導入科目(必修),1,0,0,0,後期,月,4,情報科学概論２,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,後期,水,2,並列処理（CS）,2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,後期,月,5,計算理論（CS）【2025年度以降入学生】,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,後期,水,2,並列処理（EECS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,後期,木,1,VLSI設計（CS）,2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,前期,火,2,計算理論（CS）【2024年度以前入学生】,2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,前期,火,2,計算理論（EECS）,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,火,2,データ構造とアルゴリズムⅠ（CS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,後期,木,1,VLSI設計（EECS）,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,火,2,データ構造とアルゴリズムⅠ（EECS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,後期,木,2,無線ネットワーク（CS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,後期,木,2,無線ネットワーク（EECS）,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,集中,他,0,ソフトウェア工学（CS）,2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,後期,火,3,スクリプト言語演習（EECS）,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,火,4,計算機システム（CS）,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,火,4,計算機システム（EECS）,2
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（CS）１,1
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（CS）２,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,1,0,0,後期,火,4,コンピュータアーキテクチャ基礎論（CS）【2025年度以降入学生】,2
専門教育科目群,コンテンツ系科目 (選択必修),0,1,0,0,後期,火,4,信号処理（EECS）,2
専門教育科目群,コンテンツ系科目 (選択必修),0,1,0,0,後期,火,4,信号処理,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,0,1,0,集中,他,0,ソフトウェア工学（EECS）,2
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（EECS）１,1
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,後期,火,5,スクリプト言語演習（CS）,2
専門教育科目群,コンテンツ系科目 (選択必修),0,1,0,0,後期,水,1,Usability Engineering,2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,前期,水,2,情報論理学（CS）【2024年度以前入学生】,2
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（EECS）２,2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,前期,水,2,情報論理学（EECS）,2
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（MSE）１,1
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,後期,水,2,データ構造とアルゴリズム演習（CS）,2
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（MSE）２,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,後期,水,2,データ構造とアルゴリズム演習（EECS）,2
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（AA）１,1
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（AA）２,2
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（IA）１,1
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,水,3,情報数学B,2
専門教育科目群,学部共通科目(選択),0,0,1,0,集中,他,0,インターンシップ（IA）２,2
専門教育科目群,学部共通科目(選択),0,0,1,0,後期,木,3,システムデザイン論,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,水,3,論理回路（CS）,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,後期,水,3,計算数理,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,水,3,論理回路（EECS）,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,水,3,プログラミング演習Ⅰ,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,水,3,論理回路（EE）,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,前期,月,3,HCI,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,水,4,プログラミング基礎演習Ⅱ（EECS）,2
専門教育科目群,実験科目・特別研究(必修）,0,1,0,0,後期,水,4,システムプログラミング実験,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,前期,火,3,波動計測処理,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,水,4,プログラミング基礎演習Ⅰ（EECS）,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,後期,火,3,知的エージェント,2
専門教育科目群,実験科目・特別研究(必修）,0,1,0,0,後期,水,5,システムプログラミング実験,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,後期,火,4,データマイニング,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,後期,火,5,感性工学,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,前期,水,3,ネットワークダイナミクス,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,後期,水,4,音響・音声信号処理,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,後期,金,2,パターン認識（CS）,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,後期,金,2,パターン認識（EECS）,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,後期,金,3,バーチャルリアリティ,2
専門教育科目群,学科基礎科目 (選択必修),1,0,0,0,後期,木,3,プログラミング基礎演習Ⅰ（CS）,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,前期,水,4,画像処理（CS）,2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,後期,木,4,応用統計学（CS),2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,前期,金,1,情報論理学（CS）【2025年度以降入学生】,2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,前期,金,1,応用統計学（EECS）,2
専門教育科目群,コンテンツ系科目 (選択必修),0,0,1,0,前期,水,4,画像処理（EECS）,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,金,2,微分積分・線形代数演習,2
専門教育科目群,学部共通科目(選択),0,0,1,0,後期,水,3,工学倫理,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,1,0,0,後期,金,2,ソフトウェア構成論（CS）,2
専門教育科目群,学部共通科目(選択),0,0,1,0,前期,水,5,科学技術英語第一,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,1,0,0,後期,金,2,ソフトウェア構成論（EECS）,2
専門教育科目群,学部共通科目(選択),0,0,1,0,後期,水,5,科学技術英語第二,2
専門教育科目群,学科基礎科目 (選択必修),0,1,0,0,前期,金,3,プログラミング基礎演習Ⅱ（CS）,2
専門教育科目群,基礎理論系科目 (選択必修),0,0,1,0,前期,月,3,符号理論（CS）,2
専門教育科目群,基礎理論系科目 (選択必修),0,0,1,0,前期,月,3,符号理論（EECS）,2
専門教育科目群,基礎理論系科目 (選択必修),0,1,0,0,前期,金,4,人工知能,2
専門教育科目群,基礎理論系科目 (選択必修),0,0,1,0,前期,火,1,オブジェクト指向型言語（CS）,2
専門教育科目群,学部共通科目(選択),0,0,0,1,後期,金,4,産業と法規,2
専門教育科目群,アーキテクチャ系科目 (選択必修),0,1,0,0,後期,金,4,オペレーティングシステム（CS）【2025年度以降入学生】,2
専門教育科目群,コンテンツ系科目 (選択必修),0,1,0,0,前期,金,5,信号処理（CS）,2
専門教育科目群,学部共通科目(選択),0,1,0,0,集中,他,0,情報と職業,2
専門教育科目群,学部共通科目(選択),0,0,0,1,集中,他,0,経営工学概論,2
専門教育科目群,基礎理論系科目 (選択必修),0,0,1,0,前期,火,1,オブジェクト指向型言語（EECS）,2
専門教育科目群,ゼミナール(選択),0,0,1,0,集中,他,0,情報科学ゼミナール,2
専門教育科目群,基礎理論系科目 (選択必修),0,0,1,0,前期,水,3,暗号理論（CS）,2
専門教育科目群,基礎理論系科目 (選択必修),0,0,1,0,前期,水,3,暗号理論（EECS）,2
